Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
46,5630935669;85,25996;100;850;305,2533;544,7659;0,80364;380,3498;237,3383;48,79543;44,64299;323,2973;372,8476;False
46,7119377136;85,76065;100;850;304,6518;545,3644;0,80364;379,568;236,8504;48,59506;44,48423;322,6328;372,8476;False
46,8597587585;86,26109;100;850;303,9565;546,0586;0,80364;378,7718;236,3536;48,3914;44,32652;321,9561;372,8476;False
47,0071712494;86,76156;100;850;303,3038;546,6716;0,80364;378,033;235,8926;48,20281;44,1692;321,3281;372,8476;False
47,1537700653;87,2622;100;850;302,8043;547,212;0,80364;377,2853;235,426;48,01232;44,01288;320,6925;372,8476;False
47,2997852325;87,76273;100;850;302,1879;547,8414;0,80364;376,5589;234,9728;47,82762;43,85711;320,0751;372,8476;False
47,4448596954;88,26331;100;850;301,6143;548,3741;0,80364;375,8177;234,5102;47,6395;43,70234;319,445;372,8476;False
47,5890964508;88,76385;100;850;300,9689;549,0276;0,80364;375,0885;234,0552;47,45481;43,54846;318,8252;372,8476;False
47,732787323;89,26437;100;850;300,4103;549,6105;0,80364;374,3661;233,6044;47,27221;43,39519;318,2112;372,8476;False
47,8755237579;89,76491;100;850;299,783;550,2177;0,80364;373,634;233,1476;47,0875;43,2429;317,5889;372,8476;False
48,0176937103;90,26564;100;850;299,29;550,7053;0,80364;372,9143;232,6985;46,90627;43,09128;316,9772;372,8476;False
48,1591907501;90,76611;100;850;298,6211;551,4037;0,80364;372,2344;232,2743;46,7354;42,94029;316,3993;372,8476;False
48,2998603821;91,26675;100;850;298,2203;551,7818;0,80364;371,5228;231,8302;46,55686;42,79562;315,7943;372,8476;False
48,4398227692;91,76707;100;850;297,6202;552,3654;0,80364;370,8239;231,3941;46,38186;42,68531;315,2003;372,8476;False
48,5795894623;92,26945;100;850;297,0171;552,991;0,80364;370,1464;230,9713;46,21254;42,57518;314,6244;372,8476;False
48,7229953766;92,78505;100;850;296,5137;553,5331;0,80364;369,4286;230,5235;46,03349;42,46221;314,0143;372,8476;False
48,8609424591;93,28565;100;850;295,8986;554,1053;0,80364;368,7047;230,0717;45,85324;42,35349;313,399;372,8476;False
48,9990028381;93,78624;100;850;295,4114;554,5891;0,80364;368,0521;229,6645;45,69109;42,2447;312,8443;372,8476;False
49,136623764;94,28664;100;850;294,9248;555,1094;0,80364;367,4387;229,2818;45,53892;42,13627;312,3229;372,8476;False
49,2729709625;94,78712;100;850;294,3647;555,6384;0,80364;366,7305;228,8398;45,36353;42,02883;311,7209;372,8476;False
49,4093902588;95,2877;100;850;293,7747;556,2545;0,80364;366,101;228,447;45,20792;41,9213;311,1858;372,8476;False
49,5450027466;95,78827;100;850;293,3362;556,7027;0,80364;365,4288;228,0276;45,04208;41,81447;310,6145;372,8476;False
49,6803371429;96,2888;100;850;292,7397;557,2724;0,80364;364,8163;227,6454;44,89121;41,7078;310,0938;372,8476;False
49,8148750305;96,78937;100;850;292,2401;557,7697;0,80364;364,1611;227,2365;44,73012;41,60179;309,537;372,8476;False
49,9491931915;97,29003;100;850;291,7825;558,2369;0,80364;363,5538;226,8576;44,58105;41,49596;309,0207;372,8476;False
50,08229599;97,7903;100;850;291,1934;558,8278;0,80364;362,864;226,4271;44,41203;41,39107;308,4344;372,8476;False
50,215542984;98,29114;100;850;290,7618;559,2275;0,80364;362,2491;226,0434;44,26163;41,28608;307,9117;372,8476;False
50,3479625702;98,79176;100;850;290,1574;559,8604;0,80364;361,6174;225,6493;44,10741;41,18171;307,3748;372,8476;False
50,4797847748;99,29208;100;850;289,7213;560,2817;0,80364;360,9826;225,2531;43,95268;41,07785;306,8352;372,8476;False
50,6114627838;99,79267;100;850;289,2598;560,7377;0,80364;360,3809;224,8777;43,80628;40,97409;306,3238;372,8476;False
50,7422172546;100,2932;100;850;288,7255;561,3135;0,80364;359,7542;224,4866;43,65405;40,87106;305,791;372,8476;False
50,8726352692;100,7937;100;850;288,3173;561,6921;0,80364;359,1443;224,106;43,50616;40,76832;305,2726;372,8476;False
51,0025863647;101,2942;100;850;287,7529;562,2577;0,80364;358,5555;223,7387;43,36364;40,66588;304,7722;372,8476;False
51,132094574;101,7948;100;850;287,2855;562,7164;0,80364;357,9668;223,3713;43,22134;40,56383;304,2718;372,8476;False
51,2610774994;102,2954;100;850;286,8494;563,1499;0,80364;357,3853;223,0084;43,08104;40,46222;303,7775;372,8476;False
51,3896793365;102,7967;100;850;286,4165;563,6316;0,80364;356,7977;222,6417;42,93949;40,36089;303,278;372,8476;False
51,5215530396;103,3132;100;850;285,8743;564,1061;0,80364;356,183;222,2582;42,79168;40,25696;302,7556;372,8476;False
51,6489326477;103,8137;100;850;285,3962;564,6349;0,80364;355,6121;221,902;42,65461;40,15659;302,2703;372,8476;False
51,775711441;104,3143;100;850;284,9122;565,0815;0,80364;355,0195;221,5322;42,51256;40,05667;301,7666;372,8476;False
51,9023151398;104,8148;100;850;284,5725;565,4528;0,80364;354,4809;221,1961;42,38366;39,95694;301,3088;372,8476;False
52,0278614044;105,3154;100;850;284,0346;565,9914;0,80364;353,8753;220,8182;42,23897;39,85796;300,794;372,8476;False
52,153181076;105,8159;100;850;283,6683;566,3383;0,80364;353,3034;220,4613;42,10257;39,75926;300,3079;372,8476;False
52,2783565521;106,3164;100;850;283,1908;566,8204;0,80364;352,7861;220,1385;41,97937;39,66061;299,8682;372,8476;False
52,4025878906;106,8172;100;850;282,7275;567,2754;0,80364;352,2027;219,7745;41,84062;39,56273;299,3723;372,8476;False
52,5263557434;107,3176;100;850;282,2328;567,7705;0,80364;351,6382;219,4222;41,70662;39,4649;298,8925;372,8476;False
52,6497184753;107,8181;100;850;281,8812;568,1534;0,80364;351,0886;219,0793;41,57635;39,368;298,4253;372,8476;False
52,7728305817;108,3187;100;850;281,4055;568,6124;0,80364;350,5728;218,7575;41,45428;39,27097;297,9869;372,8476;False
52,8954208374;108,8192;100;850;280,9719;569,0228;0,80364;350,0596;218,4372;41,33299;39,17437;297,5507;372,8476;False
